"id","number","bus_stop_id_id","company_id_id","section_id_id","route_type"
60,22,60,SJ,2,d1
61,23,61,SJ,2,d1
62,24,62,SJ,2,d1
64,26,64,SJ,2,d1
65,27,65,SJ,2,d1
66,28,66,SJ,2,d1
68,30,68,SJ,2,d1
74,36,74,SJ,3,d1
75,37,75,SJ,3,d1
77,39,77,SJ,3,d1
78,40,78,SJ,3,d1
79,41,79,SJ,3,d1
85,47,85,SJ,4,d1
86,48,86,SJ,4,d1
87,49,87,SJ,4,d1
88,50,88,SJ,4,d1
191,52,90,SJ,4,d1
193,54,92,SJ,5,d1
196,57,95,SJ,5,d1
197,58,96,SJ,5,d1
199,60,98,SJ,5,d1
200,61,99,SJ,5,d1
201,62,100,SJ,5,d1
202,63,101,SJ,5,d1
204,65,103,SJ,5,d1
205,66,104,SJ,5,d1
206,67,105,SJ,5,d1
208,69,107,SJ,5,d1
210,71,109,SJ,6,d1
212,73,111,SJ,6,d1
213,74,112,SJ,6,d1
214,75,113,SJ,6,d1
215,76,114,SJ,6,d1
217,78,116,SJ,6,d1
219,80,118,SJ,7,d1
221,82,120,SJ,7,d1
222,83,121,SJ,7,d1
223,84,122,SJ,7,d1
225,86,124,SJ,7,d1
226,87,125,SJ,7,d1
227,88,126,SJ,7,d1
228,89,127,SJ,7,d1
230,91,129,SJ,7,d1
231,92,130,SJ,7,d1
232,93,131,SJ,7,d1
234,95,133,SJ,7,d1
235,96,134,SJ,7,d1
236,97,135,SJ,7,d1
238,99,137,SJ,7,d1
39,1,39,SJ,1,d1
40,2,40,SJ,1,d1
42,4,42,SJ,1,d1
43,5,43,SJ,1,d1
44,6,44,SJ,1,d1
46,8,46,SJ,1,d1
47,9,47,SJ,1,d1
48,10,48,SJ,1,d1
49,11,49,SJ,1,d1
51,13,51,SJ,1,d1
52,14,52,SJ,1,d1
53,15,53,SJ,1,d1
55,17,55,SJ,1,d1
56,18,56,SJ,1,d1
57,19,57,SJ,1,d1
59,21,59,SJ,2,d1
73,35,73,SJ,2,d1
192,53,91,SJ,4,d1
209,70,108,SJ,5,d1
218,79,117,SJ,6,d1
195,56,437,SJ,5,d1
69,31,69,SJ,2,d1
70,32,70,SJ,2,d1
72,34,72,SJ,2,d1
81,43,81,SJ,3,d1
82,44,82,SJ,3,d1
83,45,83,SJ,3,d1
63,25,63,SJ,2,d1
67,29,67,SJ,2,d1
38,0,38,SJ,1,d1
71,33,71,SJ,2,d1
84,46,84,SJ,3,d1
41,3,41,SJ,1,d1
45,7,45,SJ,1,d1
50,12,50,SJ,1,d1
54,16,54,SJ,1,d1
58,20,58,SJ,2,d1
76,38,76,SJ,3,d1
80,42,80,SJ,3,d1
190,51,89,SJ,4,d1
194,55,93,SJ,5,d1
198,59,97,SJ,5,d1
203,64,102,SJ,5,d1
207,68,106,SJ,5,d1
211,72,110,SJ,6,d1
216,77,115,SJ,6,d1
220,81,119,SJ,7,d1
224,85,123,SJ,7,d1
229,90,128,SJ,7,d1
233,94,132,SJ,7,d1
237,98,136,SJ,7,d1
588,100,138,SJ,7,d1
590,101,139,SJ,7,d1
591,102,140,SJ,7,d1
592,103,141,SJ,7,d1
593,104,142,SJ,7,d1
594,105,143,SJ,7,d1
595,106,190,SJ,7,d1
596,107,144,SJ,7,d1
597,108,145,SJ,7,d1
598,109,146,SJ,7,d1
599,110,147,SJ,7,d1
600,111,148,SJ,7,d1
601,112,149,SJ,7,d1
602,113,150,SJ,7,d1
603,114,151,SJ,7,d1
604,115,152,SJ,7,d1
605,116,153,SJ,7,d1
606,117,154,SJ,7,d1
607,118,155,SJ,7,d1
608,119,156,SJ,7,d1
609,120,157,SJ,7,d1
610,121,158,SJ,7,d1
612,123,160,SJ,7,d1
611,122,159,SJ,7,d1
613,124,161,SJ,7,d1
614,125,162,SJ,7,d1
615,126,163,SJ,7,d1
616,127,164,SJ,7,d1
617,128,165,SJ,7,d1
618,129,166,SJ,7,d1
619,130,167,SJ,7,d1
620,131,168,SJ,7,d1
621,132,169,SJ,7,d1
622,133,170,SJ,7,d1
623,134,171,SJ,7,d1
625,135,172,SJ,7,d1
624,136,173,SJ,7,d1
626,137,174,SJ,7,d1
627,138,175,SJ,7,d1
628,139,176,SJ,7,d1
629,140,177,SJ,7,d1
630,141,178,SJ,7,d1
631,142,179,SJ,7,d1
632,143,180,SJ,7,d1
633,144,181,SJ,7,d1
634,145,182,SJ,7,d1
635,146,183,SJ,7,d1
636,147,184,SJ,7,d1
637,148,185,SJ,7,d1
638,149,186,SJ,7,d1
639,150,187,SJ,7,d1
