,vehicle,lap,total_Stopbus,total_NaN,Percent_StopPoints
0,SJ37,1,84,14,0.8333333333333334
1,SJ37,2,84,8,0.9047619047619048
2,SJ37,3,84,4,0.9523809523809523
3,SJ37,4,84,4,0.9523809523809523
4,SJ39,1,84,10,0.8809523809523809
5,SJ07,1,84,8,0.9047619047619048
6,SJ07,2,84,7,0.9166666666666666
7,SJ07,3,84,2,0.9761904761904762
8,SJ07,4,84,65,0.22619047619047616
9,SJ35,1,84,73,0.13095238095238093
10,SJ35,2,84,9,0.8928571428571429
11,SJ35,3,84,8,0.9047619047619048
12,SJ35,4,84,12,0.8571428571428572
13,SJ35,5,84,83,0.011904761904761862
14,SJ13,1,84,12,0.8571428571428572
15,SJ13,2,84,11,0.8690476190476191
16,SJ13,3,84,8,0.9047619047619048
17,SJ04,1,84,6,0.9285714285714286
18,SJ04,2,84,7,0.9166666666666666
19,SJ04,3,84,3,0.9642857142857143
20,SJ04,4,84,3,0.9642857142857143
21,SJ34,6,84,84,0.0
22,SJ34,1,84,13,0.8452380952380952
23,SJ34,2,84,7,0.9166666666666666
24,SJ34,3,84,8,0.9047619047619048
25,SJ34,4,84,6,0.9285714285714286
26,SJ20,1,84,9,0.8928571428571429
27,SJ20,2,84,3,0.9642857142857143
28,SJ20,3,84,4,0.9523809523809523
29,SJ20,4,84,6,0.9285714285714286
30,SJ36,1,84,11,0.8690476190476191
31,SJ36,2,84,76,0.09523809523809523
32,SJ36,3,84,10,0.8809523809523809
33,SJ36,4,84,5,0.9404761904761905
34,SJ36,5,84,2,0.9761904761904762
35,SJ12,1,84,12,0.8571428571428572
36,SJ12,2,84,8,0.9047619047619048
37,SJ12,3,84,6,0.9285714285714286
38,SJ12,4,84,12,0.8571428571428572
39,SJ30,5,84,5,0.9404761904761905
40,SJ30,1,84,6,0.9285714285714286
41,SJ30,2,84,6,0.9285714285714286
42,SJ30,3,84,6,0.9285714285714286
43,SJ10,1,84,4,0.9523809523809523
44,SJ10,2,84,7,0.9166666666666666
45,SJ10,3,84,3,0.9642857142857143
46,SJ10,4,84,5,0.9404761904761905
47,SJ09,1,84,74,0.11904761904761907
48,SJ03,1,84,70,0.16666666666666663
49,SJ03,2,84,12,0.8571428571428572
50,SJ03,3,84,5,0.9404761904761905
51,SJ03,4,84,11,0.8690476190476191
52,SJ24,1,84,9,0.8928571428571429
53,SJ24,2,84,11,0.8690476190476191
54,SJ16,1,84,11,0.8690476190476191
55,SJ16,2,84,13,0.8452380952380952
56,SJ16,3,84,14,0.8333333333333334
57,SJ16,4,84,10,0.8809523809523809
58,SJ21,1,84,6,0.9285714285714286
59,SJ27,1,84,11,0.8690476190476191
60,SJ27,2,84,10,0.8809523809523809
61,SJ27,3,84,11,0.8690476190476191
62,SJ27,4,84,8,0.9047619047619048
63,SJ29,1,84,28,0.6666666666666667
64,SJ29,2,84,23,0.7261904761904762
65,SJ29,3,84,19,0.7738095238095238
66,SJ28,1,84,13,0.8452380952380952
67,SJ28,2,84,5,0.9404761904761905
68,SJ28,3,84,6,0.9285714285714286
69,SJ31,1,84,11,0.8690476190476191
70,SJ31,2,84,83,0.011904761904761862
71,SJ31,3,84,11,0.8690476190476191
72,SJ31,4,84,6,0.9285714285714286
73,SJ31,5,84,8,0.9047619047619048
74,SJ41,5,84,4,0.9523809523809523
75,SJ41,1,84,3,0.9642857142857143
76,SJ41,2,84,25,0.7023809523809523
77,SJ41,3,84,4,0.9523809523809523
78,SJ42,1,84,4,0.9523809523809523
79,SJ42,2,84,5,0.9404761904761905
80,SJ42,3,84,1,0.9880952380952381
81,SJ08,1,84,31,0.6309523809523809
82,SJ08,2,84,22,0.7380952380952381
83,SJ08,3,84,21,0.75
84,SJ08,4,84,20,0.7619047619047619
85,SJ38,0,84,84,0.0
86,SJ38,1,84,10,0.8809523809523809
87,SJ38,2,84,71,0.15476190476190477
88,SJ38,3,84,19,0.7738095238095238
89,SJ38,4,84,1,0.9880952380952381
90,SJ02,5,84,3,0.9642857142857143
91,SJ02,1,84,3,0.9642857142857143
92,SJ02,2,84,10,0.8809523809523809
93,SJ02,3,84,5,0.9404761904761905
94,SJ01,5,84,84,0.0
95,SJ01,1,84,5,0.9404761904761905
96,SJ01,2,84,3,0.9642857142857143
97,SJ01,3,84,2,0.9761904761904762
98,SJ05,0,84,84,0.0
99,SJ05,1,84,9,0.8928571428571429
100,SJ05,2,84,6,0.9285714285714286
101,SJ05,3,84,4,0.9523809523809523
102,SJ05,4,84,3,0.9642857142857143
103,SJ14,1,84,8,0.9047619047619048
104,SJ14,2,84,11,0.8690476190476191
105,SJ14,3,84,11,0.8690476190476191
106,SJ14,4,84,16,0.8095238095238095
107,SJ18,1,84,6,0.9285714285714286
108,SJ18,2,84,7,0.9166666666666666
109,SJ18,3,84,8,0.9047619047619048
110,SJ18,4,84,78,0.0714285714285714
111,SJ18,5,84,9,0.8928571428571429
112,SJ23,2,84,11,0.8690476190476191
113,SJ23,3,84,12,0.8571428571428572
114,SJ19,2,84,9,0.8928571428571429
115,SJ19,3,84,6,0.9285714285714286
116,SJ19,4,84,11,0.8690476190476191
117,SJ11,2,84,7,0.9166666666666666
118,SJ11,3,84,19,0.7738095238095238
119,SJ40,1,84,4,0.9523809523809523
120,SJ40,2,84,3,0.9642857142857143
